IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,total_kk,total_penduduk,puskesmas_rawat_inap,puskesmas_tanpa_rawat_inap,pustu,posyandu_aktif,posyandu_bulanan,total_puskesmas,ada_puskesmas,ada_puskesmas_rawat_inap,ada_pustu,ada_posyandu,puskesmas_per_1000,posyandu_per_1000,pustu_per_1000,rasio_posyandu_bulanan,skor_fasilitas,dokter_pria,dokter_wanita,total_dokter,bidan,bdd,ada_dokter,ada_bidan,dokter_per_1000,bidan_per_1000,adequacy_dokter,adequacy_bidan,skor_tenaga_kesehatan,gizi_buruk,gizi_buruk_per_1000,skor_gizi,klb_diare,klb_dbd,total_klb,skor_klb,skor_kondisi_kesehatan,program_stunting,jaminan_bumil_miskin,skor_program_prioritas,sktm,sktm_per_1000,skor_kesejahteraan,skor_kesehatan_total,cluster,label
3501010001,PACITAN,DONOROJO,WIDORO,2,-8.1955591,2,110.920136,996,3984,0,0,0,12,12,0,0,0,0,100,0.0,3.0120481927710845,0.0,100.0,35.0,0,0,0,2,100,0,100,0.0,0.502008032128514,0.0,25.1004016064257,30.04016064257028,0,0.0,100.0,0,0,0,100,100.0,100,100,100.0,18,4.518072289156627,89.3779150599057,61.947831666633135,2,Desa Mandiri Program
3501010002,PACITAN,DONOROJO,SAWAHAN,2,-8.1816971,2,110.9185335,379,1516,0,0,0,2,2,0,0,0,0,100,0.0,1.3192612137203166,0.0,100.0,35.0,0,0,0,0,100,0,0,0.0,0.0,0.0,0.0,20.0,0,0.0,100.0,0,0,0,100,100.0,100,100,100.0,14,9.234828496042216,78.28871996413443,58.32887199641344,2,Desa Mandiri Program
3501010003,PACITAN,DONOROJO,KALAK,1,-8.1918503,2,110.9319245,1355,5420,0,1,0,9,9,1,100,0,0,100,0.1845018450184501,1.6605166051660518,0.0,100.0,65.0,0,1,1,3,100,100,100,0.1845018450184501,0.5535055350553505,18.45018450184502,27.675276752767523,38.450184501845015,0,0.0,100.0,0,0,0,100,100.0,100,100,100.0,25,4.612546125461255,89.15580504270815,73.02812662973207,1,Desa Unggulan
3501010004,PACITAN,DONOROJO,SENDANG,2,-8.1934734,2,110.9378413,1049,4196,0,0,0,8,8,0,0,0,0,100,0.0,1.906577693040992,0.0,100.0,35.0,0,0,0,2,100,0,100,0.0,0.4766444232602478,0.0,23.83222116301239,29.532888465204955,0,0.0,100.0,0,0,0,100,100.0,100,100,100.0,38,9.05624404194471,78.70857584934387,60.754079701235625,2,Desa Mandiri Program
3501010005,PACITAN,DONOROJO,KLEPU,2,-8.1501037,2,110.9313394,1561,6244,0,0,1,11,11,0,0,0,100,100,0.0,1.7616912235746316,0.1601537475976937,100.0,50.0,0,0,0,1,100,0,100,0.0,0.1601537475976937,0.0,8.007687379884688,23.20307495195388,0,0.0,100.0,0,0,0,100,100.0,100,100,100.0,24,3.843689942344651,90.96340243405174,64.89710898139364,2,Desa Mandiri Program
3501010006,PACITAN,DONOROJO,GEDOMPOL,2,-8.1298392,2,110.933877,1451,5804,0,0,1,5,5,0,0,0,100,100,0.0,0.861474844934528,0.1722949689869055,100.0,50.0,0,0,0,1,100,0,100,0.0,0.1722949689869055,0.0,8.61474844934528,23.445899379738112,0,0.0,100.0,0,0,0,100,100.0,100,100,100.0,63,10.854583046175051,74.48064224592093,63.30953906952662,2,Desa Mandiri Program
3501010007,PACITAN,DONOROJO,CEMENG,2,-8.102484,2,110.947013,944,3776,0,0,0,11,11,0,0,0,0,100,0.0,2.913135593220339,0.0,100.0,35.0,0,0,0,1,100,0,100,0.0,0.2648305084745763,0.0,13.241525423728817,25.29661016949153,0,0.0,100.0,0,0,0,100,100.0,100,0,60.0,18,4.766949152542373,88.79280021151068,54.703432563523954,0,Desa Stabil
3501010008,PACITAN,DONOROJO,GENDARAN,2,-8.1048861,2,110.9579837,649,2596,0,0,1,10,10,0,0,0,100,100,0.0,3.852080123266564,0.3852080123266564,100.0,50.0,2,1,3,1,100,100,100,1.1556240369799693,0.3852080123266564,100.0,19.26040061633282,67.70416024653312,0,0.0,100.0,0,0,0,100,100.0,100,100,100.0,23,8.859784283513097,79.17045695876732,74.84308575751001,5,Desa Tenaga Kesehatan
3501010009,PACITAN,DONOROJO,SUKODONO,2,-8.1051325,2,110.9730862,1440,5760,0,0,0,11,11,0,0,0,0,100,0.0,1.909722222222222,0.0,100.0,35.0,1,0,1,2,100,100,100,0.1736111111111111,0.3472222222222222,17.36111111111111,17.36111111111111,33.888888888888886,0,0.0,100.0,0,0,0,100,100.0,100,0,60.0,24,4.166666666666667,90.20407722191304,56.99262994441352,0,Desa Stabil
3501010010,PACITAN,DONOROJO,SEKAR,2,-8.1150791,2,110.9768944,1184,4736,0,0,1,8,8,0,0,0,100,100,0.0,1.6891891891891893,0.2111486486486486,100.0,50.0,0,0,0,0,100,0,0,0.0,0.0,0.0,0.0,20.0,0,0.0,100.0,0,0,0,100,100.0,100,100,100.0,25,5.278716216216216,87.58962485884253,63.758962485884254,2,Desa Mandiri Program
3501010011,PACITAN,DONOROJO,DONOROJO,1,-8.0913555,2,110.9879505,1652,6608,1,0,1,12,12,1,100,100,100,100,0.1513317191283293,1.815980629539952,0.1513317191283293,100.0,100.0,2,1,3,2,100,100,100,0.4539951573849879,0.3026634382566586,45.39951573849879,15.13317191283293,44.21307506053269,0,0.0,100.0,0,0,0,100,100.0,100,0,60.0,47,7.1125907990314765,83.27814634733339,78.38108339986651,1,Desa Unggulan
3501010012,PACITAN,DONOROJO,BELAH,1,-8.0887199,2,110.9845216,1425,5700,0,0,0,8,8,0,0,0,0,100,0.0,1.4035087719298245,0.0,100.0,35.0,0,1,1,1,100,100,100,0.175438596491228,0.175438596491228,17.543859649122805,8.771929824561402,30.526315789473685,0,0.0,100.0,0,0,0,100,100.0,100,0,60.0,26,4.56140350877193,89.27604243241007,56.05918319060943,0,Desa Stabil
3501020001,PACITAN,PUNUNG,BOMO,2,-8.1721352,2,110.9738654,923,3692,0,0,1,3,3,0,0,0,100,100,0.0,0.8125677139761647,0.2708559046587215,100.0,50.0,0,0,0,1,100,0,100,0.0,0.2708559046587215,0.0,13.542795232936076,25.41711809317443,0,0.0,100.0,0,0,0,100,100.0,100,0,60.0,23,6.229685807150596,85.35387493633802,58.889667016927405,0,Desa Stabil
3501020002,PACITAN,PUNUNG,SOOKA,2,-8.152704,2,111.0221679,762,3048,0,0,0,8,8,0,0,0,0,100,0.0,2.6246719160104988,0.0,100.0,35.0,0,0,0,1,100,0,100,0.0,0.3280839895013123,0.0,16.404199475065617,26.561679790026247,0,0.0,100.0,0,0,0,100,100.0,100,0,60.0,20,6.561679790026247,84.57334995576856,54.597754943083416,0,Desa Stabil
3501020003,PACITAN,PUNUNG,PUNUNG,1,-8.1380544,2,111.0168724,2158,8632,1,0,0,11,11,1,100,100,0,100,0.1158480074142724,1.2743280815569973,0.0,100.0,85.0,2,1,3,7,100,100,100,0.3475440222428174,0.8109360518999073,34.75440222428175,40.54680259499536,50.12048192771085,1,0.1158480074142724,94.1215545305222,0,0,0,100,96.4729327183133,100,0,60.0,15,1.737720111214087,95.91458271534836,75.9161652971252,1,Desa Unggulan
3501020004,PACITAN,PUNUNG,MENDOLO KIDUL,2,-8.130188,2,111.032582,532,2128,0,0,0,4,4,0,0,0,0,100,0.0,1.8796992481203008,0.0,100.0,35.0,0,0,0,1,100,0,100,0.0,0.4699248120300752,0.0,23.49624060150376,29.398496240601503,0,0.0,100.0,0,0,0,100,100.0,100,100,100.0,12,5.639097744360902,86.74236014995749,61.523860075146125,2,Desa Mandiri Program
3501020005,PACITAN,PUNUNG,MENDOLO LOR,2,-8.1203589,2,111.0286755,1037,4148,0,0,0,5,5,0,0,0,0,100,0.0,1.2054001928640308,0.0,100.0,35.0,0,0,0,1,100,0,100,0.0,0.2410800385728062,0.0,12.054001928640307,24.82160077145613,0,0.0,100.0,0,0,0,100,100.0,100,100,100.0,20,4.821600771456123,88.6643130822523,60.571831501089264,2,Desa Mandiri Program
3501020006,PACITAN,PUNUNG,KENDAL,2,-8.1407114,2,111.0027084,459,1836,0,0,0,3,3,0,0,0,0,100,0.0,1.6339869281045751,0.0,100.0,35.0,0,0,0,3,100,0,100,0.0,1.6339869281045751,0.0,81.69934640522875,52.6797385620915,0,0.0,100.0,0,0,0,100,100.0,100,100,100.0,5,2.7233115468409586,93.5974360927536,68.02967824979824,5,Desa Tenaga Kesehatan
3501020007,PACITAN,PUNUNG,PITON,2,-8.153707,2,111.0055173,586,2344,0,0,0,7,7,0,0,0,0,100,0.0,2.9863481228668944,0.0,100.0,35.0,0,0,0,1,100,0,100,0.0,0.4266211604095563,0.0,21.331058020477816,28.53242320819113,0,0.0,100.0,0,0,0,100,100.0,100,0,60.0,19,8.10580204778157,80.94308538051342,54.72741434009912,0,Desa Stabil
3501020008,PACITAN,PUNUNG,WARENG,2,-8.1160935,2,110.9916086,645,2580,0,0,1,5,5,0,0,0,100,100,0.0,1.937984496124031,0.3875968992248062,100.0,50.0,0,0,0,0,100,0,0,0.0,0.0,0.0,0.0,20.0,0,0.0,100.0,0,0,0,100,100.0,100,0,60.0,39,15.116279069767442,64.46130340973102,55.4461303409731,0,Desa Stabil
3501020009,PACITAN,PUNUNG,MANTREN,2,-8.1247162,2,111.0014536,974,3896,0,0,1,8,8,0,0,0,100,100,0.0,2.053388090349076,0.2566735112936345,100.0,50.0,0,0,0,0,100,0,0,0.0,0.0,0.0,0.0,20.0,0,0.0,100.0,0,0,0,100,100.0,100,100,100.0,30,7.700205338809035,81.89665195014729,63.189665195014726,2,Desa Mandiri Program
